Sobczak Ryszard
Cezary Jerzy Niewinski
Piotr Buczek
Stanislaw Palczewski
Jacek Ruranski
Tomasz Radziwon
Mirosław Cieślak
Izabella Legocka
Talal J. Mohammed Al.-Zahari
Osazuwa Osawaru
Jerzy Barszczewski
Eugeniusz Karczewski
Maria Larkowska
Sonia Zielińska
Stanisław Kucharski
Marek Sobaś
Tomasz Antkowiak
Janusz Pilarczyk
Stanisław Grzeczkowski
Józef Chojecki
Wiesław Sałacki
Roman Kempiński
Jarosław Ciok
Jolanta Brudnicka
Wojciech Gardziński
Jan Gutorski
Witold Lisicki
Talal Mohammad Al-Zahari
Romuald Orlowicz
Zofia Gil
Aloys Wobben
Jacek Sukiennik
Czeslaw Koziarski
Zbigniew Ferenc
Xijun Yan
Naifeng Wu
Zhengliang Ye
Łukasz Janik
Piotr Skrobotowicz
Artur Penkala
Marek Kaczmarek
Wlodzimierz Ochonski
Martin Svenle
Andrzej Kawalec
Jerzy Burzyński
Heinrich Kugelmann
Wieslaw Górski
Krzysztof Jóźwik
Janina Ojrzanowska
Adam Borsukiewicz
Sebastian Starzyński
Kazimierz Sielski
Mirosław Anioł
Witold Jakubiak
Wojciech Kowalski
Witold Szpak
Zbigniew Kuczera
Rafał Łuczak
Stanisław Nawrat
Czesław Nieroda
Krzysztof Strykier
Ryszard Fryczkowski
Marta Gorczowska
Jarosław Janicki
Stanisław Bednarek
Wieslaw Wisniewski
Eberhard Ammermann
Reinhard Stierl
Klaus Schelberger
Michael Henningsen
Randall Even Gold
Jan Gniady
Jolanta Sajewicz
Marian Kaczmarek
Waldemar Bajerski
Marian Kozupa
Jolanta Bubicz
Renata Kubica
Ludwik Kosno
Witold Haas
Renata Fiszer
Wieslaw Królik
Barbara Dziurdzia
Zbigniew Magoński
Adam Myszkowski
Roman Staniek
Wojciech Ptaszyński
Miroslaw Krzemieniewski
Jan Bisikiewicz
Zenon Jerzyk
Andrzej Kuszewski
Piotr Bramorski
Piotr Florczyk
Wiesław Królik
Jan Kijas
Roman Kołacz
Bohdan Sieniawski
Sławomir Skorynkiewicz
Joachim Kempeni
Roberta Weiss
Steven A. Fischkoff
Romuald Bedzinski
Jan Chłopek
Klaus-Peter Schulte
Piotr M. Slomkiewicz
Bogusław Hupa
Zbigniew Szkudlarek
Andrzej Drwięga
Dariusz Czerniak
Monika Stompor
Jerzy Kunzek
Michał Owczarek
Fabrizio Samaritani
Rita Agostinetto
Bogusław Fusiek
Adam Figurski
Krzysztof Borzycki
Wladyslaw Charkiewicz
Sebastian Kowalewicz
Marian Dolipski
Piotr Sobota
Antoni Niekraszewicz
Danuta Ciechańska
Bogdan Gruchała
Kinga Brzoza-Malczewska
Wiesław Adamiec
Jerzy Żbikowski
Jan Barciszewski
Lech Celewicz
Krzysztof Ciszewski
Mirosław Szuster
Jung Claes
Magdalena Lubkowska
Jarosław Gąsior
Andrzej Miazga
Rafał Muskus
Iwona Frąckowiak
Andrzej Idziak
Lucjan Kułeczko
Witold Wańczyk
Jerzy Kolanko
Janusz Slabik
Rafał Radoła
Witold Stokłosa
Bogusław Pijanowski
Sławomir Łukjanow
Józef Salwiński
Dariusz Lepiarczyk
Pawel Gawrys
Edyta Bartnik
Małgorzata Zagórska
Jacek Ulański
Cecylia Brandt
Irena Gronowska
Ewelina Kalwarczyk
Maciej Paszewski
Grzegorz Sosna
Barbara Filipczyk
Ryszard Roskosz
Leon Swędrowski
Dariusz Świsulski
Kazimierz Jakubiuk
Michał Ziółko
Zbigniew Pater
Janusz Tomczak
Ludwik Synoradzki
Halina Hajmowicz
Urszula Bernaś
Anna Jerzak
Jerzy Bakalarczyk
Wiesław Ciupka
Wojciech Pałasz
Marek Pawłowski
Adam Marczuk
Jan Beldzik
Łukasz Głowiak
Stanisław Głowiak
Marek Grabowski
Janusz Svach
Jan Vermehren
Mark James Ford
Boerries Kuebel
Aleksander Ciszewski
Bożena Rydzyńska
Daniel Żukowski
Ireneusz Lichota
Barbara Michorczyk
Włodzimierz Ochoński
Marek Synowiecki
Jan Tylisz
Witold Pytel
Wiesław Grzebyk
Antoni Nowakowski
Martin Friedlander
Walter Mirz
Christine Quaschning
Jan Szajna
Lech Janik
Jan Panachida
Hubert Furgoł
Barbara Matus
Tadeusz Kunicki
Andrzej Jacek Bendek
Jerzy Białecki
Krzysztof Hajduczenia
Juliusz Pernak
Tadeusz Praczyk
Stanislaw Trybula
Kazimierz Terelak
Anita Olejarz
Szymon Brekier
Wojciech Balcerowiak
Ewa Sabura
Florian Beutter
Andreas Appenzeller
Franco Cicoira
Robert Frigg
Joanna Feder-Kubis
Jędrzej Walkowiak
Monika Beczek
Aneta Gniadek
Mirosława Margula
Marek Gryta
Mieczysław Adam Gostomczyk
Zbigniew Letner
Manfred Dietrich
Hansjürgen RABE
Jürgen GRÖNEN
Pieter Ooms
Ryszard Talarczyk
Miroslaw Soroka
Waldemar Goldeman
Heinz-Joachim Rother
Hartmut Rehbein
